submission_id,response1,size_adj,context_picture,experiment_id,picture2,correct1,question1,problems,enjoyment,item,botresponse,correct2,understand,text,condition,sentence,age,response,comments,picture1,response3,size_target,education,languages,sex,RT,correct3,context,trial_number,startTime,attempts,picture,fairprice,question2,response2,adj_cond,trial_name
100,dog,NA,NA,5,images/great-dane.jpg,chihuahua,This is a,no,2,dogs,mary,great dane,yes,Please label the pictures below.,NA,NA,26,NA,NA,images/chihuahua.jpg,dogs,NA,graduated_college,English,female,NA,dogs,NA,1,1564588385838,1,NA,1.1,These are both,dog,NA,warmup
100,chihuahua,NA,NA,5,images/great-dane.jpg,chihuahua,This is a,no,2,dogs,mary,great dane,yes,Please label the pictures below.,NA,NA,26,NA,NA,images/chihuahua.jpg,dogs,NA,graduated_college,English,female,NA,dogs,NA,1,1564588385838,2,NA,1.1,These are both,great dane,NA,warmup
100,swordfish,NA,NA,5,images/goldfish.png,swordfish,This is a,no,2,fish,mary,goldfish,yes,Please label the pictures below.,NA,NA,26,NA,NA,images/swordfish.jpg,fish,NA,graduated_college,English,female,NA,fish,NA,2,1564588385838,1,NA,1.1,These are both,goldfish,NA,warmup
100,monkey,NA,NA,5,images/gorilla.jpg,spider monkey,This is a,no,2,primates,mary,gorilla,yes,Please label the pictures below.,NA,NA,26,NA,NA,images/spidermonkey.jpg,apes,NA,graduated_college,English,female,NA,monkeys|apes|primates,NA,3,1564588385838,1,NA,1.1,These are both,gorilla,NA,warmup
100,spider monkey,NA,NA,5,images/gorilla.jpg,spider monkey,This is a,no,2,primates,mary,gorilla,yes,Please label the pictures below.,NA,NA,26,NA,NA,images/spidermonkey.jpg,apes,NA,graduated_college,English,female,NA,monkeys|apes|primates,NA,3,1564588385838,2,NA,1.1,These are both,gorilla,NA,warmup
100,NA,small,images/monkey-parade-small.png,5,NA,NA,That's a small,no,2,primates,mary,NA,yes,Another animal belongs to the group.,prenominal,You say to your friend:,26,spider monkey,NA,NA,NA,small,graduated_college,English,female,NA,NA,You see a group of animals.,1,1564588385838,NA,images/spidermonkey.jpg,1.1,NA,NA,congruent,main
100,NA,small,images/dog_parade.png,5,NA,NA,That's a small,no,2,dogs,mary,NA,yes,Another animal belongs to the group.,prenominal,You say to your friend:,26,pug,NA,NA,NA,big,graduated_college,English,female,NA,NA,You see a group of animals.,2,1564588385838,NA,images/great-dane-s.jpg,1.1,NA,NA,incongruent,main
100,NA,small,images/fish-parade.png,5,NA,NA,That's a small,no,2,fish,mary,NA,yes,Another animal belongs to the group.,prenominal,You say to your friend:,26,swordfish,NA,NA,NA,big,graduated_college,English,female,NA,NA,You see a group of animals.,3,1564588385838,NA,images/swordfish-s.jpg,1.1,NA,NA,incongruent,main
100,tree,NA,NA,5,images/bonsai.jpg,redwood|sequoia,This is a,no,2,trees,mary,bonsai,yes,Please label the pictures below.,NA,NA,26,NA,NA,images/sequoia.jpg,trees,NA,graduated_college,English,female,NA,trees,NA,1,1564588385838,1,NA,1.1,These are both,sapling,NA,warmup
100,redwood,NA,NA,5,images/bonsai.jpg,redwood|sequoia,This is a,no,2,trees,mary,bonsai,yes,Please label the pictures below.,NA,NA,26,NA,NA,images/sequoia.jpg,trees,NA,graduated_college,English,female,NA,trees,NA,1,1564588385838,2,NA,1.1,These are both,bonsai,NA,warmup
100,swan,NA,NA,5,images/colibri.jpg,swan,This is a,no,2,birds,mary,hummingbird,yes,Please label the pictures below.,NA,NA,26,NA,NA,images/swan.jpg,birds,NA,graduated_college,English,female,NA,birds,NA,2,1564588385838,1,NA,1.1,These are both,hummingbird,NA,warmup
100,dandelion,NA,NA,5,images/sunflower.png,daisy,This is a,no,2,flowers,mary,sunflower,yes,Please label the pictures below.,NA,NA,26,NA,NA,images/daisy.png,flowers,NA,graduated_college,English,female,NA,flowers,NA,3,1564588385838,1,NA,1.1,These are both,sunflower,NA,warmup
100,daisy,NA,NA,5,images/sunflower.png,daisy,This is a,no,2,flowers,mary,sunflower,yes,Please label the pictures below.,NA,NA,26,NA,NA,images/daisy.png,flowers,NA,graduated_college,English,female,NA,flowers,NA,3,1564588385838,2,NA,1.1,These are both,sunflower,NA,warmup
100,NA,small,images/flower-parade-small.png,5,NA,NA,That's a small,no,2,flowers,mary,NA,yes,Another plant belongs to the group.,prenominal,You say to your friend:,26,daisy,NA,NA,NA,small,graduated_college,English,female,NA,NA,You see a group of plants.,1,1564588385838,NA,images/daisy.png,1.1,NA,NA,congruent,main
100,NA,big,images/bird-parade-small.png,5,NA,NA,That's a big,no,2,birds,mary,NA,yes,Another animal bleongs to the group.,prenominal,You say to your friend:,26,hummingbird,NA,NA,NA,small,graduated_college,English,female,NA,NA,You see a group of animals.,2,1564588385838,NA,images/colibri-b.jpg,1.1,NA,NA,incongruent,main
100,NA,big,images/tree-parade.png,5,NA,NA,That's a big,no,2,trees,mary,NA,yes,Another plant belongs to the group.,prenominal,You say to your friend:,26,redwood,NA,NA,NA,big,graduated_college,English,female,NA,NA,You see a group of plants.,3,1564588385838,NA,images/sequoia.jpg,1.1,NA,NA,congruent,main
104,swordfish,NA,NA,5,images/goldfish.png,swordfish,This is a,no,1,fish,Linda,goldfish,yes,Please label the pictures below.,NA,NA,44,NA,thanks,images/swordfish.jpg,fish,NA,graduated_high_school,English,male,NA,fish,NA,1,1564588461507,1,NA,2,These are both,goldfish,NA,warmup
104,monkey,NA,NA,5,images/gorilla.jpg,spider monkey,This is a,no,1,primates,Linda,gorilla,yes,Please label the pictures below.,NA,NA,44,NA,thanks,images/spidermonkey.jpg,animals,NA,graduated_high_school,English,male,NA,monkeys|apes|primates,NA,2,1564588461507,1,NA,2,These are both,gorilla,NA,warmup
104,monkey,NA,NA,5,images/gorilla.jpg,spider monkey,This is a,no,1,primates,Linda,gorilla,yes,Please label the pictures below.,NA,NA,44,NA,thanks,images/spidermonkey.jpg,primates,NA,graduated_high_school,English,male,NA,monkeys|apes|primates,NA,2,1564588461507,2,NA,2,These are both,gorilla,NA,warmup
104,monkey,NA,NA,5,images/gorilla.jpg,spider monkey,This is a,no,1,primates,Linda,gorilla,yes,Please label the pictures below.,NA,NA,44,NA,thanks,images/spidermonkey.jpg,primates,NA,graduated_high_school,English,male,NA,monkeys|apes|primates,NA,2,1564588461507,3,NA,2,These are both,gorilla,NA,warmup
104,monkey,NA,NA,5,images/gorilla.jpg,spider monkey,This is a,no,1,primates,Linda,gorilla,yes,Please label the pictures below.,NA,NA,44,NA,thanks,images/spidermonkey.jpg,primates,NA,graduated_high_school,English,male,NA,monkeys|apes|primates,NA,2,1564588461507,4,NA,2,These are both,gorilla,NA,warmup
104,spider monkey,NA,NA,5,images/gorilla.jpg,spider monkey,This is a,no,1,primates,Linda,gorilla,yes,Please label the pictures below.,NA,NA,44,NA,thanks,images/spidermonkey.jpg,primates,NA,graduated_high_school,English,male,NA,monkeys|apes|primates,NA,2,1564588461507,5,NA,2,These are both,gorilla,NA,warmup
104,dog,NA,NA,5,images/great-dane.jpg,chihuahua,This is a,no,1,dogs,Linda,great dane,yes,Please label the pictures below.,NA,NA,44,NA,thanks,images/chihuahua.jpg,dog,NA,graduated_high_school,English,male,NA,dogs,NA,3,1564588461507,1,NA,2,These are both,dog,NA,warmup
