submission_id,response1,startDate,context_picture,experiment_id,picture2,correct1,question1,problems,enjoyment,hit_id,item,botresponse,assignment_id,correct2,understand,text,condition,sentence,age,response,comments,picture1,response3,education,worker_id,languages,sex,RT,correct3,context,trial_number,startTime,attempts,picture,question3,fairprice,question2,size,response2,trial_name
267,parrot,Thu Aug 08 2019 13:28:56 GMT-0700 (Pacific Daylight Time),NA,7,warmup/eagle.jpg,hummingbird,This is a ,,1,3DZKABX2ZITX9NOG2TPGYBNW9CYCV1,birds,patricia,3GA6AFUKOPC716V6UD2DEROHHINH3V,eagle,yes,Please label the pictures below.,NA,NA,32,NA,,warmup/colibri.jpg,birds,graduated_college,A26M997VYVK0E6,english,male,NA,birds,NA,1,1565296136046,1,NA,This is an ,1.50,These are both,NA,eagle,warmup1
267,hummingbird,Thu Aug 08 2019 13:28:56 GMT-0700 (Pacific Daylight Time),NA,7,warmup/eagle.jpg,hummingbird,This is a ,,1,3DZKABX2ZITX9NOG2TPGYBNW9CYCV1,birds,patricia,3GA6AFUKOPC716V6UD2DEROHHINH3V,eagle,yes,Please label the pictures below.,NA,NA,32,NA,,warmup/colibri.jpg,birds,graduated_college,A26M997VYVK0E6,english,male,NA,birds,NA,1,1565296136046,2,NA,This is an ,1.50,These are both,NA,eagle,warmup1
267,gease,Thu Aug 08 2019 13:28:56 GMT-0700 (Pacific Daylight Time),NA,7,warmup/canary.jpg,swan,This is a ,,1,3DZKABX2ZITX9NOG2TPGYBNW9CYCV1,birds,patricia,3GA6AFUKOPC716V6UD2DEROHHINH3V,canary,yes,Please label the pictures below.,NA,NA,32,NA,,warmup/swan.jpg,birds,graduated_college,A26M997VYVK0E6,english,male,NA,birds,NA,2,1565296136046,1,NA,This is a ,1.50,These are both,NA,chick,warmup1
267,swan,Thu Aug 08 2019 13:28:56 GMT-0700 (Pacific Daylight Time),NA,7,warmup/canary.jpg,swan,This is a ,,1,3DZKABX2ZITX9NOG2TPGYBNW9CYCV1,birds,patricia,3GA6AFUKOPC716V6UD2DEROHHINH3V,canary,yes,Please label the pictures below.,NA,NA,32,NA,,warmup/swan.jpg,birds,graduated_college,A26M997VYVK0E6,english,male,NA,birds,NA,2,1565296136046,2,NA,This is a ,1.50,These are both,NA,canary,warmup1
267,tree,Thu Aug 08 2019 13:28:56 GMT-0700 (Pacific Daylight Time),NA,7,warmup/bonsai.jpg,redwood|sequoia,This is a ,,1,3DZKABX2ZITX9NOG2TPGYBNW9CYCV1,trees,patricia,3GA6AFUKOPC716V6UD2DEROHHINH3V,bonsai,yes,Please label the pictures below.,NA,NA,32,NA,,warmup/sequoia.jpg,plants,graduated_college,A26M997VYVK0E6,english,male,NA,trees,NA,3,1565296136046,1,NA,This is a ,1.50,These are both,NA,plant,warmup1
267,redwood,Thu Aug 08 2019 13:28:56 GMT-0700 (Pacific Daylight Time),NA,7,warmup/bonsai.jpg,redwood|sequoia,This is a ,,1,3DZKABX2ZITX9NOG2TPGYBNW9CYCV1,trees,patricia,3GA6AFUKOPC716V6UD2DEROHHINH3V,bonsai,yes,Please label the pictures below.,NA,NA,32,NA,,warmup/sequoia.jpg,trees,graduated_college,A26M997VYVK0E6,english,male,NA,trees,NA,3,1565296136046,2,NA,This is a ,1.50,These are both,NA,bonsai,warmup1
267,NA,Thu Aug 08 2019 13:28:56 GMT-0700 (Pacific Daylight Time),images/bird-parade2.png,7,NA,NA,That's a big ,,1,3DZKABX2ZITX9NOG2TPGYBNW9CYCV1,birds,patricia,3GA6AFUKOPC716V6UD2DEROHHINH3V,NA,yes,This one is also in the parade.,prenominal,You say to your friend:,32,bird,,NA,NA,graduated_college,A26M997VYVK0E6,english,male,,NA,You see a parade of animals.,1,1565296136046,NA,images/eagle.png,NA,1.50,,big,NA,main1
267,NA,Thu Aug 08 2019 13:28:56 GMT-0700 (Pacific Daylight Time),images/bird-parade3.png,7,NA,NA,That's a big ,,1,3DZKABX2ZITX9NOG2TPGYBNW9CYCV1,birds,patricia,3GA6AFUKOPC716V6UD2DEROHHINH3V,NA,yes,This one is also in the parade.,prenominal,You say to your friend:,32,swan,,NA,NA,graduated_college,A26M997VYVK0E6,english,male,,NA,You see a parade of animals.,2,1565296136046,NA,images/swan.png,NA,1.50,,big,NA,main1
267,NA,Thu Aug 08 2019 13:28:56 GMT-0700 (Pacific Daylight Time),images/tree-parade.png,7,NA,NA,That's a small ,,1,3DZKABX2ZITX9NOG2TPGYBNW9CYCV1,trees,patricia,3GA6AFUKOPC716V6UD2DEROHHINH3V,NA,yes,This one is also in the landscape.,prenominal,You say to your friend:,32,tree,,NA,NA,graduated_college,A26M997VYVK0E6,english,male,,NA,You see the following items in a landscape.,3,1565296136046,NA,images/bonsai.png,NA,1.50,,small,NA,main1
267,bulldog,Thu Aug 08 2019 13:28:56 GMT-0700 (Pacific Daylight Time),NA,7,warmup/great-dane.jpg,pug,This is a ,,1,3DZKABX2ZITX9NOG2TPGYBNW9CYCV1,dogs,patricia,3GA6AFUKOPC716V6UD2DEROHHINH3V,great dane,yes,Please label the pictures below.,NA,NA,32,NA,,warmup/pug.jpg,dogs,graduated_college,A26M997VYVK0E6,english,male,NA,dogs,NA,1,1565296136046,1,NA,This is a ,1.50,These are both,NA,canine,warmup2
